City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Jamestown,US,72.99,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
3,East London,ZA,52.81,clear sky,-33.0153,27.9116,Tu Casa
4,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
5,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Deputatskiy,RU,53.13,scattered clouds,69.3,139.9,Baza Otdykha
7,Puerto Ayora,EC,72.55,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
9,Sept-Iles,CA,62.26,scattered clouds,50.2001,-66.3821,Comfort Inn
10,Mar Del Plata,AR,52.12,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
12,Saint George,US,85.53,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
13,Aklavik,CA,72.43,overcast clouds,68.2191,-135.0107,Aklavik Inn
14,Cockeysville,US,79.23,scattered clouds,39.4812,-76.6439,Embassy Suites by Hilton Baltimore Hunt Valley
15,Kavieng,PG,84.06,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
16,Atuona,PF,78.37,scattered clouds,-9.8,-139.0333,Villa Enata
17,Busselton,AU,57.09,overcast clouds,-33.65,115.3333,Observatory Guest House
18,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
19,Dingle,PH,82.4,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
20,Khatanga,RU,56.61,broken clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
21,Rikitea,PF,69.46,clear sky,-23.1203,-134.9692,People ThankYou
22,Cape Town,ZA,52.27,mist,-33.9258,18.4232,Southern Sun Waterfront Cape Town
23,Krasnoselkup,RU,62.74,light rain,65.7,82.4667,Krasnosel'kupnefteprodukt
25,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
26,Carnarvon,AU,59.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
27,Mogadishu,SO,76.1,light rain,2.0371,45.3438,Hotel Juba
28,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
30,Sorland,NO,52.32,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
31,Hithadhoo,MV,81.57,broken clouds,-0.6,73.0833,Scoop Guest House
34,Mayo,US,81.01,broken clouds,38.8876,-76.5119,Resorts Resource Group International
35,Severo-Kurilsk,RU,56.84,broken clouds,50.6789,156.125,Kak Doma
37,Ribeira Grande,PT,70.92,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
38,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
39,Hatillo,PR,82.85,broken clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
40,Port Alfred,ZA,53.31,clear sky,-33.5906,26.891,The Halyards Hotel
41,Havre-Saint-Pierre,CA,57.56,clear sky,50.2334,-63.5986,Auberge Niapiskau
43,Lagoa,PT,69.33,scattered clouds,39.05,-27.9833,Casa Das Faias
45,Saldanha,ZA,50.05,broken clouds,-33.0117,17.9442,Blue Bay Lodge
48,Butaritari,KI,83.68,light rain,3.0707,172.7902,Isles Sunset Lodge
49,Liaozhong,CN,86.52,broken clouds,41.5061,122.7242,Bishuiwan Hotel
50,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
51,Ushtobe,KZ,73.89,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
52,Torbay,CA,58.57,few clouds,47.6666,-52.7314,Gallows Cove
53,Libreville,GA,77.02,few clouds,0.3925,9.4537,Hotel Re-Ndama
54,Mahebourg,MU,70.09,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
55,Hermanus,ZA,50.9,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
57,Ust-Nera,RU,57.61,moderate rain,64.5667,143.2,Hotel Ust-Nera
58,Shinjo,JP,85.08,scattered clouds,38.7586,140.3008,New Grand Hotel Shinjo
59,Chapais,CA,71.38,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
60,Byron Bay,AU,66.7,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
61,Wajid,SO,71.58,broken clouds,3.8093,43.2471,xamdihotelresturant114
62,Yellowknife,CA,59.29,broken clouds,62.456,-114.3525,The Explorer Hotel
63,Richards Bay,ZA,52.81,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
64,Fortuna,US,67.86,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
65,Cherskiy,RU,53.46,broken clouds,68.75,161.3,Gostinitsa
67,Reserva,BR,53.29,clear sky,-24.6503,-50.8506,Hotel Mavi
68,Hamilton,US,84.36,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
71,Goderich,CA,74.91,overcast clouds,43.7501,-81.7165,Harmony Inn
72,Dakar,SN,82.53,clear sky,14.6937,-17.4441,Redface Studios Meublés
74,Haines Junction,CA,60.75,overcast clouds,60.7522,-137.5108,Parkside Inn
75,Thompson,CA,62.76,broken clouds,55.7435,-97.8558,Burntwood Hotel
77,Fukue,JP,79.16,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
78,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
79,Araure,VE,74.39,overcast clouds,9.5601,-69.2148,Hotel Las Majaguas
80,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
