City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,45.91,56,59,11.34,broken clouds
1,Jamestown,US,42.097,-79.2353,72.99,88,40,5.01,scattered clouds
2,Qaanaaq,GL,77.484,-69.3632,41.11,66,100,2.21,overcast clouds
3,East London,ZA,-33.0153,27.9116,52.81,69,0,12.37,clear sky
4,Georgetown,MY,5.4112,100.3354,82.89,89,20,2.3,few clouds
5,Kapaa,US,22.0752,-159.319,84.18,80,75,3.0,light rain
6,Deputatskiy,RU,69.3,139.9,53.13,55,33,7.56,scattered clouds
7,Puerto Ayora,EC,-0.7393,-90.3518,72.55,84,11,7.0,few clouds
8,Provideniya,RU,64.3833,-173.3,47.71,98,100,13.04,light rain
9,Sept-Iles,CA,50.2001,-66.3821,62.26,92,40,5.01,scattered clouds
10,Mar Del Plata,AR,-38.0023,-57.5575,52.12,60,90,7.0,overcast clouds
11,Bredasdorp,ZA,-34.5322,20.0403,40.32,87,30,4.61,scattered clouds
12,Saint George,US,37.1041,-113.5841,85.53,55,20,4.0,few clouds
13,Aklavik,CA,68.2191,-135.0107,72.43,60,96,11.48,overcast clouds
14,Cockeysville,US,39.4812,-76.6439,79.23,64,50,9.04,scattered clouds
15,Kavieng,PG,-2.5744,150.7967,84.06,71,39,8.99,scattered clouds
16,Atuona,PF,-9.8,-139.0333,78.37,72,37,18.12,scattered clouds
17,Busselton,AU,-33.65,115.3333,57.09,73,98,15.79,overcast clouds
18,Alofi,NU,-19.0595,-169.9187,82.29,74,33,5.75,scattered clouds
19,Dingle,PH,10.9995,122.6711,82.4,80,71,16.26,broken clouds
20,Khatanga,RU,71.9667,102.5,56.61,54,70,19.98,broken clouds
21,Rikitea,PF,-23.1203,-134.9692,69.46,55,0,1.25,clear sky
22,Cape Town,ZA,-33.9258,18.4232,52.27,77,46,2.3,mist
23,Krasnoselkup,RU,65.7,82.4667,62.74,88,95,6.29,light rain
24,Ushuaia,AR,-54.8,-68.3,37.06,87,20,5.75,few clouds
25,Ponta Do Sol,PT,32.6667,-17.1,72.72,77,0,6.08,clear sky
26,Carnarvon,AU,-24.8667,113.6333,59.07,67,100,8.05,overcast clouds
27,Mogadishu,SO,2.0371,45.3438,76.1,79,26,23.8,light rain
28,Hilo,US,19.7297,-155.09,80.33,78,90,9.22,light rain
29,Albany,US,42.6001,-73.9662,74.05,62,91,1.01,overcast clouds
30,Sorland,NO,67.667,12.6934,52.32,95,100,14.34,overcast clouds
31,Hithadhoo,MV,-0.6,73.0833,81.57,78,54,10.36,broken clouds
32,Saskylakh,RU,71.9167,114.0833,64.36,63,100,5.64,light rain
33,Oranjemund,NA,-28.55,16.4333,63.01,21,31,12.3,scattered clouds
34,Mayo,US,38.8876,-76.5119,81.01,69,75,1.01,broken clouds
35,Severo-Kurilsk,RU,50.6789,156.125,56.84,91,70,2.06,broken clouds
36,Erzurum,TR,40.0,41.5,60.48,87,0,5.23,clear sky
37,Ribeira Grande,PT,38.5167,-28.7,70.92,92,47,8.61,scattered clouds
38,Vaini,TO,-21.2,-175.2,78.96,94,20,5.75,few clouds
39,Hatillo,PR,18.4863,-66.8254,82.85,89,73,3.2,broken clouds
40,Port Alfred,ZA,-33.5906,26.891,53.31,61,0,13.49,clear sky
41,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,88,1,3.44,clear sky
42,Mataura,NZ,-46.1927,168.8643,48.47,76,100,3.71,overcast clouds
43,Lagoa,PT,39.05,-27.9833,69.33,89,40,14.52,scattered clouds
44,Bluff,NZ,-46.6,168.3333,48.79,66,100,9.08,overcast clouds
45,Saldanha,ZA,-33.0117,17.9442,50.05,56,57,11.54,broken clouds
46,Upernavik,GL,72.7868,-56.1549,39.67,84,82,4.45,broken clouds
47,Taoudenni,ML,22.6783,-3.9836,98.85,8,5,12.41,clear sky
48,Butaritari,KI,3.0707,172.7902,83.68,75,70,14.12,light rain
49,Liaozhong,CN,41.5061,122.7242,86.52,71,75,10.07,broken clouds
50,Bathsheba,BB,13.2167,-59.5167,79.41,89,20,4.61,few clouds
51,Ushtobe,KZ,45.2514,77.9838,73.89,30,0,4.92,clear sky
52,Torbay,CA,47.6666,-52.7314,58.57,91,20,11.5,few clouds
53,Libreville,GA,0.3925,9.4537,77.02,83,20,9.22,few clouds
54,Mahebourg,MU,-20.4081,57.7,70.09,78,40,11.5,light rain
55,Hermanus,ZA,-34.4187,19.2345,50.9,55,34,4.54,scattered clouds
56,Angoram,PG,-4.0625,144.0661,75.49,96,100,2.28,overcast clouds
57,Ust-Nera,RU,64.5667,143.2,57.61,98,100,6.91,moderate rain
58,Shinjo,JP,38.7586,140.3008,85.08,67,27,6.44,scattered clouds
